date,cases,deaths,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,w1_change_cases,w1_change_deaths,w2_change_cases,w2_change_deaths
2020-10-15,177520.0,8432.0,,,0.0026194231635872016,0.0010673624288425048,0.0034024335286164937,0.002727703984819734
2020-10-16,179086.0,8457.0,,,0.0036462928425449225,0.0009459619250325174,0.00600270261215282,-0.000354735721887194
2020-10-17,180943.0,8466.0,,,0.0010279480278319693,0.0023623907394283014,0.003608871302012236,0.0022442712024568863
2020-10-18,182212.0,8492.0,,,0.0021787807608719513,-0.0016486104569006124,0.003512392158584506,-0.0024729156853509184
2020-10-19,183315.0,8500.0,,,0.001658347652947113,-0.00011764705882352942,0.00522052205220522,-0.00023529411764705883
2020-10-20,184872.0,8533.0,,,0.0064585226535116185,-0.0011719207781553968,0.007129256999437448,-0.00011719207781553967
2020-10-21,186297.0,8562.0,,,0.004310321690633773,-0.000817565989254847,0.00735384896160432,0.000700770847932726
2020-10-22,188360.0,8592.0,,,0.0007379486090465067,0.0016294227188081937,0.004443618602675727,0.001978584729981378
2020-10-23,190579.0,8625.0,,,0.002214304828968564,-0.0012753623188405797,0.006112950534948761,0.0005797101449275362
2020-10-24,192622.0,8654.0,,,0.0024244374993510607,-0.00011555350127108852,0.01034149785590431,0.0012710885139819736
2020-10-25,194288.0,8666.0,,,0.0012507205797578852,-0.0008077544426494346,0.006397718850366467,-0.0008077544426494346
2020-10-26,195695.0,8673.0,,,0.0033368251616035156,-0.00011530035743110804,0.010194435218068934,-0.0003459010722933241
2020-10-27,198446.0,8696.0,,,0.0006248551243159348,0.0010349586016559337,0.008113038307650445,0.004484820607175713
2020-10-28,200674.0,8718.0,,,0.002825478138672673,0.0014911676990135353,0.01237330197235317,0.004244092681807754
2020-10-29,202876.0,8762.0,,,0.0034405252469488752,0.0003423875827436658,0.01619708590469055,0.0005706459712394431
2020-10-30,205517.0,8784.0,,,0.0036152727025014963,0.0018214936247723133,0.014062097052798551,0.0009107468123861566
2020-10-31,208027.0,8812.0,,,0.007330779177702894,0.0013617793917385383,0.014618294740586558,0.0024965955515206537
2020-11-01,209936.0,8817.0,,,0.004763356451489978,0.0,0.015671442725402027,0.00374276964954066
2020-11-02,211996.0,8823.0,,,0.006330308119021114,-0.00022668026748271563,0.011396441442291363,0.0007933809361895047
