date,cases,deaths,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,w1_change_cases,w1_change_deaths,w2_change_cases,w2_change_deaths
2020-07-10,111110.0,8296.0,,,0.0007650076500765007,-0.0007232401157184186,0.0011250112501125012,-0.0016875602700096432
2020-07-11,111398.0,8310.0,,,0.0006373543510655487,0.00036101083032490973,-4.488410922996822e-05,-0.00024067388688327315
2020-07-12,111597.0,8325.0,,,0.0008691989928044661,-0.00036036036036036037,0.0015233384409975177,0.00048048048048048047
2020-07-13,111827.0,8330.0,,,0.0002235596054620083,-0.0003601440576230492,0.0005276006688903395,0.00024009603841536616
2020-07-14,112130.0,8340.0,,,-0.0005261749754748952,0.0008393285371702638,-0.0004191563363952555,0.0005995203836930455
2020-07-15,112347.0,8368.0,,,0.0006230695968739708,-0.0011950286806883365,0.0025367833587011668,0.00011950286806883365
2020-07-16,112581.0,8380.0,,,0.000826071894902337,0.00047732696897374703,0.001598848828843233,0.00035799522673031026
2020-07-17,112879.0,8402.0,,,0.0003543617501926842,-0.0009521542489883361,0.0019135534510404948,-0.0009521542489883361
2020-07-18,113238.0,8419.0,,,-0.0006711527932319539,-0.0005938947618482005,0.0006093360885921687,0.0
2020-07-19,113534.0,8431.0,,,0.00064297919565945,0.0008302692444549875,0.001074567970828122,0.0
2020-07-20,113789.0,8433.0,,,0.00029879865364841943,0.0005929088106249259,-0.0004921389589503379,0.0009486540969998814
2020-07-21,114033.0,8450.0,,,0.00010523269579858461,-0.00023668639053254438,0.002648356177597713,-0.0009467455621301775
2020-07-22,114320.0,8468.0,,,0.0018806857942617215,0.0012990080302314596,0.0013383484954513647,-0.001889466225791214
2020-07-23,114647.0,8484.0,,,0.0007588510820169739,-0.00011786892975011787,-0.0008373529180876953,0.001885902876001886
2020-07-24,114985.0,8498.0,,,0.0015306344305779014,0.0,0.0006870461364525808,0.0004706989879971758
2020-07-25,115268.0,8510.0,,,0.001257938022694937,0.0005875440658049354,0.0011885345455807336,0.0
2020-07-26,115637.0,8529.0,,,0.0004237398064633292,-0.0008207292765857662,-0.00034591004609251365,-0.0005862351975612616
2020-07-27,115926.0,8536.0,,,-0.0007763573314010662,0.0003514526710402999,-0.00012076669599572141,-0.00011715089034676664
2020-07-28,116182.0,8551.0,,,0.002496083730698387,-0.0007016723190270144,0.0011705771978447609,-0.0005847269325225119
2020-07-29,116684.0,8580.0,,,-0.0005313496280552603,-0.003146853146853147,-0.0017911624558637003,-0.001282051282051282
2020-07-30,117098.0,8595.0,,,-0.0015627935575330066,0.001977894124490983,-0.0008112862730362602,0.0006980802792321117
2020-07-31,117612.0,8609.0,,,-0.0008247457742407237,0.00046463003833197816,-0.0025677651940278204,0.0
2020-08-01,118040.0,8626.0,,,-6.777363605557438e-05,-0.0005796429399489915,-0.0005252456794307015,-0.00034778576396939483
2020-08-02,118458.0,8638.0,,,-0.0007513211433588276,0.00023153507756425097,-0.0009708082189467997,-0.00011576753878212549
2020-08-03,118657.0,8648.0,,,0.000640501613895514,-0.00046253469010175765,0.0001179871394018052,-0.0006938020351526364
2020-08-04,119203.0,8657.0,,,-0.00129191379411592,0.00011551345731777752,-0.0031123377767338072,-0.00034654037195333255
2020-08-05,119643.0,8659.0,,,-0.0012286552493668665,0.0018477884282249682,0.00323462300343522,0.004042037186742118
2020-08-06,119874.0,8691.0,,,0.0007341041426831506,-0.0012656771372684386,0.0006840515875002085,-0.0023012311586698884
2020-08-07,120291.0,8709.0,,,-0.0017042006467649284,-0.00045929498220231943,0.0005902353459527312,-0.0005741187277528993
2020-08-08,120711.0,8721.0,,,-0.000447349454482193,0.00022933149868134388,-0.002286452767353431,0.0009173259947253755
