date,cases,deaths,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,w1_change_cases,w1_change_deaths,w2_change_cases,w2_change_deaths
2020-09-21,5106.0,140.0,,,-0.002937720329024677,-0.007142857142857143,-0.00019584802193497845,-0.007142857142857143
2020-09-22,5146.0,140.0,,,-0.000582977069568597,0.007142857142857143,-0.00388651379712398,0
2020-09-23,5171.0,140.0,,,0.005608199574550377,0,0.002707406691162251,0
2020-09-24,5215.0,140.0,,,-0.0007670182166826462,0.007142857142857143,-0.0017257909875359539,0
2020-09-25,5235.0,140.0,,,0.0032473734479465137,0,0.0013371537726838587,0.007142857142857143
2020-09-26,5260.0,140.0,,,-0.0013307984790874524,0,0.0009505703422053232,0
2020-09-27,5288.0,140.0,,,0.0009455370650529501,0,-0.00018910741301059002,0
2020-09-28,5300.0,140.0,,,0.0026415094339622643,0,0.0032075471698113206,0
2020-09-29,5337.0,141.0,,,-0.0031853100993067267,-0.0070921985815602835,-0.0016863406408094434,-0.0070921985815602835
2020-09-30,5391.0,141.0,,,-0.0027824151363383415,0,-0.00333889816360601,0
2020-10-01,5431.0,142.0,,,-0.0009206407659731173,-0.007042253521126761,-0.0036825630638924692,0.0
2020-10-02,5468.0,142.0,,,-0.0018288222384784199,0.007042253521126761,-0.001463057790782736,0.007042253521126761
2020-10-03,5486.0,142.0,,,0.002187386073641998,0,0.005468465184104995,0.007042253521126761
2020-10-04,5519.0,142.0,,,-0.0010871534698314912,0,-0.0012683457148034065,0
2020-10-05,5545.0,142.0,,,0.0005410279531109107,0,-0.0005410279531109107,0
2020-10-06,5565.0,142.0,,,0.0014375561545372866,0,0.0012578616352201257,0
2020-10-07,5604.0,142.0,,,-0.0005353319057815846,0,-0.00017844396859386153,0
2020-10-08,5639.0,142.0,,,-0.0026600461074658627,0.007042253521126761,0.0003546728143287817,0
2020-10-09,5666.0,143.0,,,0.00035298270384751147,0.0,0.0007059654076950229,-0.006993006993006993
2020-10-10,5696.0,143.0,,,0.0031601123595505617,0.006993006993006993,0.002106741573033708,0
2020-10-11,5723.0,143.0,,,-0.00017473353136466887,0,0.0064651406604927485,0
2020-10-12,5752.0,143.0,,,-0.001043115438108484,0,0.004172461752433936,0
2020-10-13,5780.0,143.0,,,-0.00017301038062283736,0,0.005017301038062283,0
2020-10-14,5816.0,143.0,,,0.000343878954607978,0,0.0068775790921595595,0
2020-10-15,5836.0,144.0,,,0.0029129540781357094,-0.006944444444444444,0.01028101439342015,-0.006944444444444444
2020-10-16,5865.0,145.0,,,0.00034100596760443307,-0.006896551724137931,0.012617220801364024,-0.006896551724137931
2020-10-17,5913.0,146.0,,,-0.0010147133434804667,-0.00684931506849315,0.00845594452900389,0.0
2020-10-18,5939.0,146.0,,,0.0063983835662569455,0,0.00353594881293147,0
2020-10-19,5962.0,146.0,,,0.005031868500503187,0,0.010231465951023146,0.00684931506849315
2020-10-20,5989.0,146.0,,,0.005009183503088996,0,0.01669727834362999,0
2020-10-21,6027.0,146.0,,,0.006304961008793761,0,0.01874896299983408,0.0136986301369863
2020-10-22,6064.0,146.0,,,0.007091029023746702,0,0.024076517150395778,0
2020-10-23,6095.0,146.0,,,0.011812961443806398,0,0.0251025430680886,0
2020-10-24,6137.0,146.0,,,0.009124979631741893,0.00684931506849315,0.019064689587746455,0.0136986301369863
2020-10-25,6201.0,146.0,,,-0.0027414933075310434,0,0.0041928721174004195,0
2020-10-26,6254.0,146.0,,,0.004956827630316597,0.00684931506849315,0.0227054685001599,0.00684931506849315
2020-10-27,6311.0,146.0,,,0.011091744572967834,0,0.018222151798447155,0.02054794520547945
2020-10-28,6387.0,146.0,,,0.011742602160638797,0.0136986301369863,0.010333489901362142,0.0136986301369863
2020-10-29,6467.0,146.0,,,0.015927014071439618,0,0.017473326117210454,0.00684931506849315
2020-10-30,6570.0,146.0,,,0.012328767123287671,0,0.021461187214611873,0.02054794520547945
2020-10-31,6668.0,147.0,,,0.009148170365926815,0.006802721088435374,0.008098380323935212,0.0
2020-11-01,6715.0,147.0,,,0.006403574087862993,0,0.0157855547282204,0.013605442176870748
2020-11-02,6799.0,148.0,,,0.016325930283865274,0.0,0.01309016031769378,-0.006756756756756757
2020-11-03,6926.0,148.0,,,0.006497256713831938,0.02027027027027027,0.017181634421022236,0.006756756756756757
2020-11-04,7077.0,150.0,,,-0.001271725307333616,0.0,0.0007065140596297867,0.013333333333333334
2020-11-05,7260.0,150.0,,,0.0013774104683195593,0.006666666666666667,0.004407713498622589,0.006666666666666667
2020-11-06,7444.0,150.0,,,0.008060182697474477,0.02,0.0053734551316496505,0.013333333333333334
2020-11-07,7603.0,152.0,,,-0.0009206892016309352,-0.006578947368421052,0.0007891621728265158,-0.006578947368421052
2020-11-08,7693.0,152.0,,,0.00818926296633303,0.013157894736842105,0.018978291953724163,0.013157894736842105
2020-11-09,7888.0,153.0,,,-0.002789046653144016,-0.006535947712418301,-0.0012677484787018255,0.0
2020-11-10,8060.0,156.0,,,0.009181141439205955,-0.01282051282051282,0.010297766749379652,0.057692307692307696
2020-11-11,8202.0,158.0,,,0.001706900755913192,0.012658227848101266,0.010485247500609607,-0.006329113924050633
2020-11-12,8395.0,159.0,,,0.0026206075044669444,0.0,0.005360333531864205,-0.006289308176100629
2020-11-13,8639.0,162.0,,,-0.0023150827642088203,-0.006172839506172839,-0.028244009723347608,-0.018518518518518517
2020-11-14,8791.0,163.0,,,0.0014787851211466273,0.0,-0.014674098509839608,0.0
2020-11-15,8944.0,165.0,,,0.009279964221824687,0.0,0.007491055456171735,-0.012121212121212121
2020-11-16,9117.0,165.0,,,0.0013162224415926291,0.006060606060606061,0.008336075463419985,0.01818181818181818
2020-11-17,9363.0,166.0,,,0.0009612303748798462,0.06626506024096386,-0.0028836911246395386,0.1144578313253012
2020-11-18,9519.0,170.0,,,0.007563819728963126,-0.01764705882352941,0.007984031936127744,0.0
2020-11-19,9734.0,171.0,,,0.0023628518594616807,-0.005847953216374269,0.013457982329977398,0.005847953216374269
2020-11-20,9958.0,173.0,,,-0.022494476802570797,-0.011560693641618497,0.006627836915043182,0.011560693641618497
2020-11-21,10123.0,174.0,,,-0.01402746221475847,0.0,0.01165662353057394,0.011494252873563218
2020-11-22,10359.0,176.0,,,-0.0015445506323004152,-0.011363636363636364,-0.0014480162177816392,-0.011363636363636364
2020-11-23,10544.0,177.0,,,0.006069802731411229,0.011299435028248588,0.02295144157814871,-0.005649717514124294
2020-11-24,10799.0,189.0,,,-0.003333642003889249,0.042328042328042326,0.001759422168719326,0.0
2020-11-25,11027.0,190.0,,,0.00036274598712251744,0.015789473684210527,0.016051509930171397,0.031578947368421054
2020-11-26,11265.0,190.0,,,0.009587217043941412,0.010526315789473684,0.015002219263204617,0
2020-11-27,11265.0,190.0,,,0.02574345317354638,0.021052631578947368,0.03062583222370173,0.021052631578947368
2020-11-28,11288.0,191.0,,,0.02303330970942594,0.010471204188481676,0.03463855421686747,0.031413612565445025
2020-11-29,11508.0,191.0,,,8.689607229753215e-05,0,0.0072123740006951684,0
2020-11-30,11757.0,194.0,,,0.015139916645402738,-0.015463917525773196,0.015054860933911712,-0.005154639175257732
2020-12-01,11976.0,214.0,,,0.00459251837007348,-0.037383177570093455,0.01603206412825651,-0.06542056074766354
2020-12-02,12208.0,218.0,,,0.014171035386631716,0.013761467889908258,0.02613040629095675,-0.009174311926605505
2020-12-03,12554.0,220.0,,,0.004859009080771069,-0.00909090909090909,0.019436036323084275,0.031818181818181815
2020-12-04,12844.0,224.0,,,0.004282155091871691,0.0,0.01136717533478667,0.004464285714285714
2020-12-05,13127.0,227.0,,,0.009979431705644854,0.01762114537444934,0.009065285289860593,0.03524229074889868
2020-12-06,13348.0,227.0,,,0.006143242433323344,0,-0.0010488462691039856,0
2020-12-07,13775.0,227.0,,,-7.259528130671507e-05,0.00881057268722467,-0.006388384754990925,0.004405286343612335
2020-12-08,14049.0,239.0,,,0.009751583742615132,-0.02510460251046025,0.013097017581322513,-0.008368200836820083
2020-12-09,14454.0,246.0,,,0.010101010101010102,-0.02032520325203252,0.023730455237304552,0.0040650406504065045
2020-12-10,14861.0,246.0,,,0.012314110759706615,0.036585365853658534,0.022071193055649013,0.024390243902439025
2020-12-11,15206.0,250.0,,,0.0059844798106010785,0.004,-0.0015783243456530317,-0.008
2020-12-12,15620.0,257.0,,,-0.0007682458386683739,0.01556420233463035,-0.0265044814340589,-0.027237354085603113
2020-12-13,15923.0,257.0,,,-0.006029014632920932,0,0.0018840670727877913,0.01556420233463035
2020-12-14,16349.0,259.0,,,-0.00532142638693498,-0.003861003861003861,0.000795155667013273,0.003861003861003861
2020-12-15,16760.0,265.0,,,0.002804295942720764,0.01509433962264151,0.01068019093078759,0.0037735849056603774
2020-12-16,17311.0,267.0,,,0.011380047368725088,0.02247191011235955,0.0022529027785800934,-0.003745318352059925
2020-12-17,17901.0,276.0,,,0.008100106139321826,-0.010869565217391304,0.006256633707614099,0.014492753623188406
2020-12-18,18337.0,281.0,,,-0.006271472978131646,-0.010676156583629894,-0.023777062769264327,-0.017793594306049824
2020-12-19,18739.0,292.0,,,-0.021452585516836545,-0.03767123287671233,0.034260099258231494,0.0
2020-12-20,18946.0,292.0,,,0.006650480312467012,0.0136986301369863,0.0073894225694077905,0.003424657534246575
2020-12-21,19285.0,293.0,,,0.005185377236193933,0.006825938566552901,0.0019185895773917553,0.0
2020-12-22,19743.0,303.0,,,0.006685913994833612,-0.009900990099009901,0.007040470040014182,-0.0033003300330033004
2020-12-23,20491.0,311.0,,,-0.007710702259528574,-0.022508038585209004,-0.010882826606802986,-0.01607717041800643
2020-12-24,21226.0,317.0,,,-0.001554697069631584,0.022082018927444796,-0.00942240648261566,0.022082018927444796
2020-12-25,21547.0,319.0,,,-0.01489766556829257,-0.006269592476489028,0.02139508980368497,0.12225705329153605
2020-12-26,21547.0,319.0,,,0.04845222072678331,0.034482758620689655,0.02840302594328677,0.018808777429467086
2020-12-27,21880.0,323.0,,,0.000639853747714808,-0.009287925696594427,-0.0024680073126142595,-0.01238390092879257
2020-12-28,22319.0,326.0,,,-0.002822707110533626,-0.006134969325153374,-0.005645414221067252,0.009202453987730062
2020-12-29,22909.0,333.0,,,0.000305556768082413,0.006006006006006006,0.005456370858614518,0.012012012012012012
2020-12-30,23499.0,334.0,,,-0.002766075152134133,0.005988023952095809,0.00995787054768288,0.008982035928143712
2020-12-31,24201.0,347.0,,,-0.006900541299946284,0.0,0.004379984298169497,-0.01440922190201729
2021-01-01,24201.0,347.0,,,0.03231271435064667,0.11815561959654179,0.03400685922069336,0.04610951008645533
